,,,,,,,
"Cash receipts by commodity, state ranking, 2018
Nominal (current dollars)",,,,,,,
,,,,,,,
Crops,,,,,,,
,,,,,,,
Rank,State,State receipts for Crops,Share of U.S. receipts for Crops,Cumulative share of U.S. receipts for Crops,State receipts for all commodities,Share of State receipts for all commodities,Share of U.S. receipts for all commodities
,,"$1,000",Percent,Percent,"$1,000",Percent,Percent
,United States,"194,853,082",,,"371,182,097",52.5,
,,,,,,,
1,California,"38,157,312",19.6,19.6,"49,969,028",76.4,10.3
2,Illinois,"14,421,854",7.4,27.0,"16,755,426",86.1,3.9
3,Iowa,"13,072,661",6.7,33.7,"27,339,962",47.8,3.5
4,Minnesota,"9,647,927",5.0,38.6,"17,098,985",56.4,2.6
5,Nebraska,"9,337,401",4.8,43.4,"21,318,029",43.8,2.5
6,Texas,"7,133,358",3.7,47.1,"21,402,164",33.3,1.9
7,Washington,"6,936,742",3.6,50.7,"9,428,322",73.6,1.9
8,Indiana,"6,697,636",3.4,54.1,"10,493,761",63.8,1.8
9,Kansas,"6,461,184",3.3,57.4,"15,971,245",40.5,1.7
10,North Dakota,"6,439,247",3.3,60.7,"7,713,360",83.5,1.7
11,Florida,"5,588,643",2.9,63.6,"7,189,508",77.7,1.5
12,Ohio,"5,485,808",2.8,66.4,"9,072,502",60.5,1.5
13,Missouri,"5,370,404",2.8,69.2,"10,035,339",53.5,1.4
14,South Dakota,"4,997,195",2.6,71.7,"9,041,166",55.3,1.3
15,Michigan,"4,190,866",2.2,73.9,"7,292,898",57.5,1.1
16,Wisconsin,"3,589,634",1.8,75.7,"10,929,825",32.8,1.0
17,Oregon,"3,508,255",1.8,77.5,"4,949,568",70.9,0.9
18,North Carolina,"3,434,899",1.8,79.3,"11,074,870",31.0,0.9
19,Arkansas,"3,427,579",1.8,81.0,"8,991,153",38.1,0.9
20,Idaho,"3,146,623",1.6,82.6,"7,470,650",42.1,0.8
21,Georgia,"3,042,032",1.6,84.2,"9,084,405",33.5,0.8
22,Kentucky,"2,506,084",1.3,85.5,"5,878,891",42.6,0.7
23,Pennsylvania,"2,467,548",1.3,86.8,"6,704,515",36.8,0.7
24,Arizona,"2,436,110",1.3,88.0,"4,168,720",58.4,0.7
25,Colorado,"2,376,877",1.2,89.2,"7,076,232",33.6,0.6
26,Tennessee,"2,086,272",1.1,90.3,"3,501,816",59.6,0.6
27,Mississippi,"2,016,312",1.0,91.3,"5,397,084",37.4,0.5
28,Louisiana,"1,967,888",1.0,92.3,"3,100,134",63.5,0.5
29,Montana,"1,949,475",1.0,93.3,"3,547,900",54.9,0.5
30,New York,"1,896,115",1.0,94.3,"5,004,961",37.9,0.5
31,Oklahoma,"1,421,903",0.7,95.1,"6,712,878",21.2,0.4
32,Virginia,"1,291,052",0.7,95.7,"3,546,026",36.4,0.3
33,Alabama,"1,243,801",0.6,96.4,"5,793,616",21.5,0.3
34,South Carolina,"1,104,919",0.6,96.9,"2,482,701",44.5,0.3
35,New Jersey,"1,005,952",0.5,97.4,"1,134,173",88.7,0.3
36,Maryland,"868,381",0.4,97.9,"2,237,007",38.8,0.2
37,New Mexico,"712,635",0.4,98.2,"2,940,992",24.2,0.2
38,Utah,"485,669",0.2,98.5,"1,686,353",28.8,0.1
39,Hawaii,"424,972",0.2,98.7,"590,844",71.9,0.1
40,Connecticut,"401,291",0.2,98.9,"573,926",69.9,0.1
41,Wyoming,"395,630",0.2,99.1,"1,546,803",25.6,0.1
42,Maine,"379,057",0.2,99.3,"674,084",56.2,0.1
43,Massachusetts,"351,367",0.2,99.5,"455,845",77.1,0.1
44,Delaware,"277,410",0.1,99.6,"1,409,526",19.7,0.1
45,Nevada,"183,079",0.1,99.7,"664,814",27.5,0.0
46,Vermont,"173,837",0.1,99.8,"724,198",24.0,0.0
47,West Virginia,"155,946",0.1,99.9,"683,363",22.8,0.0
48,New Hampshire,"111,122",0.1,100.0,"216,083",51.4,0.0
49,Rhode Island,"44,906",0.0,100.0,"67,906",66.1,0.0
50,Alaska,"30,212",0.0,100.0,"38,542",78.4,0.0
"Footnotes
Data as of December 1, 2021
NA = Data are not available/applicable.
Values are rounded to the nearest thousand. When 'Real (2021 dollars)' is selected, nominal values are adjusted for inflation using the U.S. Bureau of Economic Analysis Gross Domestic Product Price Index (BEA API series code: A191RG) rebased to 2021 by USDA, Economic Research Service.
",,,,,,,
,,,,,,,
USDA/ERS Farm Income and Wealth Statistics,,,,,,,
