,,,,,,,
"Cash receipts by commodity, state ranking, 2012
Nominal (current dollars)",,,,,,,
,,,,,,,
Crops,,,,,,,
,,,,,,,
Rank,State,State receipts for Crops,Share of U.S. receipts for Crops,Cumulative share of U.S. receipts for Crops,State receipts for all commodities,Share of State receipts for all commodities,Share of U.S. receipts for all commodities
,,"$1,000",Percent,Percent,"$1,000",Percent,Percent
,United States,"231,571,461",,,"401,390,238",57.7,
,,,,,,,
1,California,"34,769,669",15.0,15.0,"46,954,450",74.0,8.7
2,Iowa,"20,002,789",8.6,23.7,"32,811,551",61.0,5.0
3,Illinois,"18,287,128",7.9,31.5,"20,819,854",87.8,4.6
4,Minnesota,"13,647,766",5.9,37.4,"21,047,892",64.8,3.4
5,Nebraska,"12,919,119",5.6,43.0,"24,281,137",53.2,3.2
6,Indiana,"8,997,427",3.9,46.9,"12,488,722",72.0,2.2
7,North Dakota,"8,084,494",3.5,50.4,"9,188,953",88.0,2.0
8,Texas,"7,833,217",3.4,53.8,"22,420,540",34.9,2.0
9,Washington,"7,459,577",3.2,57.0,"9,932,628",75.1,1.9
10,Ohio,"7,219,718",3.1,60.1,"10,544,859",68.5,1.8
11,Kansas,"7,130,813",3.1,63.2,"16,165,393",44.1,1.8
12,South Dakota,"6,853,565",3.0,66.2,"10,407,759",65.9,1.7
13,Florida,"6,724,783",2.9,69.1,"8,589,794",78.3,1.7
14,Missouri,"5,615,495",2.4,71.5,"10,008,064",56.1,1.4
15,Michigan,"5,335,936",2.3,73.8,"8,277,997",64.5,1.3
16,Arkansas,"4,803,057",2.1,75.9,"9,382,881",51.2,1.2
17,Wisconsin,"4,733,109",2.0,77.9,"11,987,109",39.5,1.2
18,North Carolina,"4,205,214",1.8,79.7,"11,549,375",36.4,1.0
19,Georgia,"3,799,386",1.6,81.4,"9,059,787",41.9,0.9
20,Idaho,"3,725,488",1.6,83.0,"7,783,391",47.9,0.9
21,Oregon,"3,363,807",1.5,84.4,"4,866,609",69.1,0.8
22,Mississippi,"3,223,669",1.4,85.8,"6,281,663",51.3,0.8
23,Colorado,"2,941,125",1.3,87.1,"7,612,115",38.6,0.7
24,Pennsylvania,"2,855,751",1.2,88.3,"7,266,732",39.3,0.7
25,Louisiana,"2,844,057",1.2,89.6,"3,958,429",71.8,0.7
26,Kentucky,"2,432,544",1.1,90.6,"4,797,668",50.7,0.6
27,Montana,"2,342,499",1.0,91.6,"3,916,777",59.8,0.6
28,New York,"2,289,735",1.0,92.6,"5,499,803",41.6,0.6
29,Arizona,"2,261,551",1.0,93.6,"4,076,705",55.5,0.6
30,Tennessee,"2,224,930",1.0,94.5,"3,743,401",59.4,0.6
31,Oklahoma,"1,821,168",0.8,95.3,"7,223,963",25.2,0.5
32,Virginia,"1,475,463",0.6,96.0,"3,574,597",41.3,0.4
33,Alabama,"1,313,813",0.6,96.5,"5,228,635",25.1,0.3
34,South Carolina,"1,299,615",0.6,97.1,"2,862,089",45.4,0.3
35,Maryland,"1,043,383",0.5,97.5,"2,261,237",46.1,0.3
36,New Jersey,"930,677",0.4,97.9,"1,037,439",89.7,0.2
37,New Mexico,"769,779",0.3,98.3,"3,673,496",21.0,0.2
38,Hawaii,"610,187",0.3,98.5,"746,287",81.8,0.2
39,Utah,"577,116",0.2,98.8,"1,815,245",31.8,0.1
40,Wyoming,"471,298",0.2,99.0,"1,685,715",28.0,0.1
41,Maine,"430,366",0.2,99.2,"777,103",55.4,0.1
42,Connecticut,"391,970",0.2,99.3,"577,267",67.9,0.1
43,Delaware,"379,458",0.2,99.5,"1,179,730",32.2,0.1
44,Massachusetts,"373,234",0.2,99.7,"500,165",74.6,0.1
45,Nevada,"258,791",0.1,99.8,"716,720",36.1,0.1
46,Vermont,"170,149",0.1,99.9,"796,592",21.4,0.0
47,West Virginia,"152,683",0.1,99.9,"688,846",22.2,0.0
48,New Hampshire,"101,195",0.0,100.0,"222,034",45.6,0.0
49,Rhode Island,"50,511",0.0,100.0,"70,610",71.5,0.0
50,Alaska,"23,185",0.0,100.0,"30,431",76.2,0.0
"Footnotes
Data as of December 1, 2021
NA = Data are not available/applicable.
Values are rounded to the nearest thousand. When 'Real (2021 dollars)' is selected, nominal values are adjusted for inflation using the U.S. Bureau of Economic Analysis Gross Domestic Product Price Index (BEA API series code: A191RG) rebased to 2021 by USDA, Economic Research Service.
",,,,,,,
,,,,,,,
USDA/ERS Farm Income and Wealth Statistics,,,,,,,
